pair_id,h11,h12,h13,h21,h22,h23,h31,h32
scene_030_1_2,1,0,0,0,1,0,0,0
scene_030_1_3,1,0,0,0,1,0,0,0
scene_030_1_4,1,0,0,0,1,0,0,0
scene_030_1_5,1,0,0,0,1,0,0,0
scene_030_1_6,1,0,0,0,1,0,0,0
scene_020_1_2,1,0,0,0,1,0,0,0
scene_020_1_3,1,0,0,0,1,0,0,0
scene_020_1_4,1,0,0,0,1,0,0,0
scene_020_1_5,1,0,0,0,1,0,0,0
scene_020_1_6,1,0,0,0,1,0,0,0
scene_001_1_2,1,0,0,0,1,0,0,0
scene_001_1_3,1,0,0,0,1,0,0,0
scene_001_1_4,1,0,0,0,1,0,0,0
scene_001_1_5,1,0,0,0,1,0,0,0
scene_001_1_6,1,0,0,0,1,0,0,0
scene_027_1_2,1,0,0,0,1,0,0,0
scene_027_1_3,1,0,0,0,1,0,0,0
scene_027_1_4,1,0,0,0,1,0,0,0
scene_027_1_5,1,0,0,0,1,0,0,0
scene_027_1_6,1,0,0,0,1,0,0,0
scene_018_1_2,1,0,0,0,1,0,0,0
scene_018_1_3,1,0,0,0,1,0,0,0
scene_018_1_4,1,0,0,0,1,0,0,0
scene_018_1_5,1,0,0,0,1,0,0,0
scene_018_1_6,1,0,0,0,1,0,0,0
scene_037_1_2,1,0,0,0,1,0,0,0
scene_037_1_3,1,0,0,0,1,0,0,0
scene_037_1_4,1,0,0,0,1,0,0,0
scene_037_1_5,1,0,0,0,1,0,0,0
scene_037_1_6,1,0,0,0,1,0,0,0
scene_003_1_2,1,0,0,0,1,0,0,0
scene_003_1_3,1,0,0,0,1,0,0,0
scene_003_1_4,1,0,0,0,1,0,0,0
scene_003_1_5,1,0,0,0,1,0,0,0
scene_003_1_6,1,0,0,0,1,0,0,0
scene_035_1_2,1,0,0,0,1,0,0,0
scene_035_1_3,1,0,0,0,1,0,0,0
scene_035_1_4,1,0,0,0,1,0,0,0
scene_035_1_5,1,0,0,0,1,0,0,0
scene_035_1_6,1,0,0,0,1,0,0,0
scene_028_1_2,1,0,0,0,1,0,0,0
scene_028_1_3,1,0,0,0,1,0,0,0
scene_028_1_4,1,0,0,0,1,0,0,0
scene_028_1_5,1,0,0,0,1,0,0,0
scene_028_1_6,1,0,0,0,1,0,0,0
scene_014_1_2,1,0,0,0,1,0,0,0
scene_014_1_3,1,0,0,0,1,0,0,0
scene_014_1_4,1,0,0,0,1,0,0,0
scene_014_1_5,1,0,0,0,1,0,0,0
scene_014_1_6,1,0,0,0,1,0,0,0
scene_022_1_2,1,0,0,0,1,0,0,0
scene_022_1_3,1,0,0,0,1,0,0,0
scene_022_1_4,1,0,0,0,1,0,0,0
scene_022_1_5,1,0,0,0,1,0,0,0
scene_022_1_6,1,0,0,0,1,0,0,0
scene_024_1_2,1,0,0,0,1,0,0,0
scene_024_1_3,1,0,0,0,1,0,0,0
scene_024_1_4,1,0,0,0,1,0,0,0
scene_024_1_5,1,0,0,0,1,0,0,0
scene_024_1_6,1,0,0,0,1,0,0,0
scene_032_1_2,1,0,0,0,1,0,0,0
scene_032_1_3,1,0,0,0,1,0,0,0
scene_032_1_4,1,0,0,0,1,0,0,0
scene_032_1_5,1,0,0,0,1,0,0,0
scene_032_1_6,1,0,0,0,1,0,0,0
scene_021_1_2,1,0,0,0,1,0,0,0
scene_021_1_3,1,0,0,0,1,0,0,0
scene_021_1_4,1,0,0,0,1,0,0,0
scene_021_1_5,1,0,0,0,1,0,0,0
scene_021_1_6,1,0,0,0,1,0,0,0
scene_011_1_2,0.708532854311,-0.0111309307736,-25.8501452683,-0.136196720544,0.834330437645,103.275997135,-0.000233859968218,-1.56100811117e-05
scene_011_1_3,1.51317805788,-0.000125264842054,19.8584957499,0.268017007404,1.40985581528,-234.08832257,0.000485881299528,-1.03669016178e-06
scene_011_1_4,1.97924348281,0.0386450903202,26.5522001124,0.616748571873,1.97268581318,-535.593779945,0.00118838484619,-9.70617959663e-06
scene_011_1_5,0.440308394662,-0.011447323397,-18.9603320586,-0.207443939531,0.722651194037,148.597296081,-0.000387049339705,4.14778408008e-06
scene_011_1_6,0.202391005619,0.00277217150121,95.9223988455,-0.278743054374,0.65325781435,199.802806382,-0.000493392482157,-2.04908636418e-07
scene_010_1_2,0.878421117554,0.0259335633945,99.9165426872,0.131197210814,0.762899678512,59.1299646194,0.000559411329568,9.4307034189e-05
scene_010_1_3,1.19792017598,0.0186884039743,93.1671285465,0.234843837772,1.07124688664,-20.982056647,0.00098709066492,0.000163843696046
scene_010_1_4,0.183281614651,0.0311192469886,173.409654548,-0.0871546639084,0.480057910565,116.120410373,-0.000378235583116,5.04353795519e-05
scene_010_1_5,0.0181199224667,0.0197450228636,189.330205688,-0.12314450873,0.610181187909,125.933330013,-0.000636515084624,8.83164399415e-05
scene_010_1_6,0.228349080884,0.00666606309205,271.736243006,-0.0772315894749,0.391714235938,203.07188667,-0.000242893772327,-3.70836707396e-06
scene_006_1_2,0.326135742206,-0.0023270312469,170.71648793,-0.0877024593505,0.492306088693,72.1473163578,-0.000258434936052,1.32013790791e-06
scene_006_1_3,0.203760082802,0.00992235559276,174.343242144,-0.130419439328,0.538469565293,11.0636713188,-0.000429793688635,2.80198627255e-05
scene_006_1_4,1.28169014434,-0.00141452693075,89.851197033,0.347717603974,1.14235472534,-290.111415314,0.00102858568349,2.41981821265e-05
scene_006_1_5,2.64906038242,0.0307193527354,-60.8559705752,0.75797338536,2.42860694234,-920.969299538,0.0019208575455,7.26383229302e-05
scene_006_1_6,-0.0316976475103,0.00879455561244,250.480181026,-0.182731193367,0.669576516119,-88.0033947413,-0.00071390433043,6.64158895944e-05
scene_005_1_2,0.49025202752,0.00332335114389,242.932916109,0.057413640895,0.432599946891,166.729049155,0.00017867175136,5.82259638137e-06
scene_005_1_3,0.021179877664,-0.0174738869378,301.696954313,-0.197126235063,0.453569282327,168.008790489,-0.000521090284175,-3.98860625729e-05
scene_005_1_4,1.14492235878,-0.0247705975302,185.860329052,0.296692043708,0.97467267651,-61.2576964682,0.000826331001712,-1.24116760995e-05
scene_005_1_5,1.20982155613,-0.0321787189221,47.3141068142,0.209908121282,1.0332861536,-107.25955273,0.000548621741199,-7.84281247028e-06
scene_005_1_6,0.359492720811,-0.0205253659625,211.809967109,-0.0822437344363,0.468279824015,179.245100779,-0.000211209972524,-4.43042290126e-05
scene_002_1_2,1.31031021264,0.0603921711905,21.8743695451,0.234454935974,1.13368550782,-92.3214550179,0.000514426229725,4.25941406111e-05
scene_002_1_3,1.54919361206,0.11714018247,154.737617022,0.403953667707,1.37499131931,-170.638386923,0.000907172737252,9.3208169352e-05
scene_002_1_4,0.515253305878,0.0190609249021,40.7879264219,-0.146210382699,0.747742566211,100.613757789,-0.000266477446304,4.46299738281e-05
scene_002_1_5,0.274361068169,0.0427548123942,84.3908886585,-0.228621821329,0.69062006397,123.782114447,-0.000411642405495,5.57713255942e-05
scene_002_1_6,0.18088232337,0.0336871974403,83.6687164659,-0.250234583116,0.68434353427,123.514683927,-0.000469696955467,5.55436083222e-05
scene_016_1_2,0.946040968017,0.0771813842739,177.293747167,0.250853042496,1.01099502093,13.7533677346,0.000472647375946,2.6000209767e-05
scene_016_1_3,0.578524420388,-0.0301845890298,-19.3352865801,-0.294265122388,0.728976414123,188.665139192,-0.000438573021717,-4.42665590631e-05
scene_016_1_4,0.852462600419,0.0469515470879,268.348950242,0.413784030034,1.03414511954,-11.2958574258,0.00068534720549,2.46182139617e-05
scene_016_1_5,0.164178088062,0.000857260274054,108.658747596,-0.3400269728,0.549738534593,251.625084557,-0.0005923336398,6.47769239194e-05
scene_016_1_6,0.0567020354032,-0.0141083296243,135.989474081,-0.383531293937,0.544517188523,255.230480421,-0.000662105092695,5.09157779883e-05
scene_036_1_2,0.736228589813,-0.00277430855655,12.9273462012,0.0171360686364,0.710993076691,35.9490622168,5.8556540951e-05,-8.15877155921e-06
scene_036_1_3,0.0895207424127,0.00909131510815,132.224736174,-0.14711104768,0.471802310607,88.7061770872,-0.000569082797738,1.2842831086e-05
scene_036_1_4,1.4439683827,-0.00770809303883,-261.115806595,0.196528872774,1.30636618944,-198.367731376,0.000622061625811,5.59997796479e-05
scene_036_1_5,1.51646265247,0.0261570604067,249.863995142,0.307807152838,1.49214553268,-227.024724987,0.00120830351159,9.81202772124e-05
scene_036_1_6,0.0295245639596,0.0135030848158,198.459664301,-0.162396820584,0.445871058484,114.815219509,-0.00058088319074,4.61500391937e-06
scene_033_1_2,1.31664241746,-0.0112979931335,-142.065748153,0.09394350244,1.19213536554,-57.2597961757,0.000191320619076,-2.3030139262e-05
scene_033_1_3,1.64413288302,-0.00184937597568,-223.433310169,0.170997906594,1.44084247028,-156.309879161,0.000365538736246,-3.29381146588e-05
scene_033_1_4,3.1673833603,-0.0449554465799,-359.38067732,0.789661797889,2.81044530637,-842.307502611,0.00150715105288,-3.93811125318e-05
scene_033_1_5,3.71020501952,-0.0427842876087,-188.915563686,0.98088658009,3.35895902812,-1100.5639778,0.00189239740342,-5.88373214816e-06
scene_033_1_6,3.82313419391,0.00303248871188,61.1341416469,1.0230904036,3.49423860124,-1153.20294492,0.00202463258079,-2.41296829872e-05
scene_038_1_2,1.34741203368,-0.0158646934936,57.4415654129,0.139928068243,1.2060649416,-100.360969678,0.000318238279244,-2.17998420755e-05
scene_038_1_3,2.06832699118,0.0106222018866,34.2527038338,0.369356430808,1.82856125235,-384.955592824,0.000945508754876,-1.1832462963e-05
scene_038_1_4,0.429313243491,0.0124318767501,16.1994565154,-0.16415211473,0.771088545649,93.7246950233,-0.000381114294777,2.03991927535e-05
scene_038_1_5,0.243182023263,0.0490855187568,54.9081276643,-0.231200568317,0.78198539969,71.0435009229,-0.000519947089514,3.33628193973e-05
scene_038_1_6,0.191598845096,0.0255450075272,78.7654560687,-0.218716406934,0.806588231429,20.9174449619,-0.000565631730147,4.51021266698e-05
scene_029_1_2,0.632644355687,0.00238581358971,211.838222019,-0.0275975676957,0.652536536049,172.423684709,-3.60160468153e-05,-1.37790709139e-05
scene_029_1_3,1.28884880486,-0.0352530813611,282.006551984,0.194118814419,1.13245058297,-46.803169488,0.000404589757691,1.10186029621e-05
scene_029_1_4,1.06091723349,-0.0191318938363,563.965628201,0.18217264963,0.935480768998,36.4491642138,0.000439740079571,1.3410776125e-06
scene_029_1_5,0.413545669095,0.044110092591,45.8744547303,-0.13900747788,0.701678080587,133.331823477,-0.00029039203641,1.6231390028e-05
scene_029_1_6,0.284555850033,0.0233352280702,102.73217327,-0.138335045693,0.63385689151,141.288428903,-0.000326074640484,1.0693500824e-05
scene_017_1_2,0.749113522464,-0.00174966026598,-75.4801982534,-0.0740264275102,0.942655801502,40.486586923,-0.00018107405104,-6.78803966913e-06
scene_017_1_3,0.548697605021,-0.0110763726239,-6.09840984619,-0.118658620219,0.866007469182,111.376237073,-0.000264197505878,-1.93744559462e-05
scene_017_1_4,0.376572785139,-0.00262061738554,57.8986073361,-0.139840927189,0.819023651009,117.497169455,-0.000322516854748,-1.12820164875e-05
scene_017_1_5,0.269805595143,0.00193241221666,11.1638362809,-0.137845711864,0.804273319293,83.6049028462,-0.000356314681642,-1.00899751066e-06
scene_017_1_6,0.151952068848,0.0116023520262,56.0291318903,-0.159536016198,0.835138743226,58.8297538732,-0.000416118834267,7.41886447117e-06
scene_007_1_2,1.39218359065,-0.0527556171061,23.377076809,0.188749081176,1.03607968674,21.1006751521,0.000527035333091,-8.10217463594e-05
scene_007_1_3,1.74104859163,-0.0842088033698,126.974801555,0.391863742737,1.11255092972,-4.99946583276,0.00110325473607,-0.00010684116991
scene_007_1_4,0.385493136313,0.00267970000623,59.7002472465,-0.172810287032,0.831217659555,86.7672666457,-0.000483919033712,-4.01782523817e-05
scene_007_1_5,0.419579036518,4.04204995401e-06,105.811095414,-0.132523828872,0.81505623113,66.7647924163,-0.000429016927419,-1.3445859263e-05
scene_007_1_6,3.03907589025,-0.180564755389,359.695953315,1.1368436834,2.01980831911,-329.074532539,0.00347327371204,-0.000182527146941
scene_019_1_2,0.605389126707,-0.0136624584429,218.190166634,0.0868415465969,0.519625366662,33.628477574,0.000214183917081,-1.15421558067e-06
scene_019_1_3,0.779368325827,0.0204676672736,161.976739525,0.0885914868718,0.680242603241,-73.9046319432,0.000289953419825,3.8824627038e-05
scene_019_1_4,0.430992744631,0.00746841804237,96.348830794,-0.018535688546,0.485651197063,42.1664081899,-7.60008372519e-05,1.68617554353e-05
scene_019_1_5,0.151039341996,-0.000412614369762,242.123871126,-0.0784370425738,0.459837492435,14.1057891156,-0.00033252202198,3.19417240889e-05
scene_019_1_6,1.16063317479,0.00390545807953,202.838464933,0.268850882853,1.0474652847,-279.222965045,0.000846414024453,8.24444478652e-05
scene_012_1_2,0.876999616254,0.000396110869991,-1.08432039485,-0.035483216124,0.886057149136,36.4954898065,-7.72381565216e-05,-1.81051857793e-05
scene_012_1_3,0.624395235101,-0.0441997910665,89.8635678292,-0.0940590353311,0.678316445545,150.579420919,-0.000206334702259,-6.67558619869e-05
scene_012_1_4,0.128043345637,-0.0405851459918,330.383062747,-0.188970130719,0.470212577387,254.106902033,-0.000397744844566,-4.03491183667e-05
scene_012_1_5,0.0857024468315,-0.0238497966386,251.882641744,-0.209293510026,0.512453391287,244.78429308,-0.000445228800559,-2.85138045943e-05
scene_012_1_6,0.0459327249879,-0.0188452972109,227.354224555,-0.212605826677,0.51473551804,262.728715079,-0.000462328827486,-2.07839866583e-05
