pair_id,h11,h12,h13,h21,h22,h23,h31,h32
scene_030_1_2,1,0,0,0,1,0,0,0
scene_030_1_3,1,0,0,0,1,0,0,0
scene_030_1_4,1,0,0,0,1,0,0,0
scene_030_1_5,1,0,0,0,1,0,0,0
scene_030_1_6,1,0,0,0,1,0,0,0
scene_020_1_2,1,0,0,0,1,0,0,0
scene_020_1_3,1,0,0,0,1,0,0,0
scene_020_1_4,1,0,0,0,1,0,0,0
scene_020_1_5,1,0,0,0,1,0,0,0
scene_020_1_6,1,0,0,0,1,0,0,0
scene_001_1_2,1,0,0,0,1,0,0,0
scene_001_1_3,1,0,0,0,1,0,0,0
scene_001_1_4,1,0,0,0,1,0,0,0
scene_001_1_5,1,0,0,0,1,0,0,0
scene_001_1_6,1,0,0,0,1,0,0,0
scene_027_1_2,1,0,0,0,1,0,0,0
scene_027_1_3,1,0,0,0,1,0,0,0
scene_027_1_4,1,0,0,0,1,0,0,0
scene_027_1_5,1,0,0,0,1,0,0,0
scene_027_1_6,1,0,0,0,1,0,0,0
scene_018_1_2,1,0,0,0,1,0,0,0
scene_018_1_3,1,0,0,0,1,0,0,0
scene_018_1_4,1,0,0,0,1,0,0,0
scene_018_1_5,1,0,0,0,1,0,0,0
scene_018_1_6,1,0,0,0,1,0,0,0
scene_037_1_2,1,0,0,0,1,0,0,0
scene_037_1_3,1,0,0,0,1,0,0,0
scene_037_1_4,1,0,0,0,1,0,0,0
scene_037_1_5,1,0,0,0,1,0,0,0
scene_037_1_6,1,0,0,0,1,0,0,0
scene_003_1_2,1,0,0,0,1,0,0,0
scene_003_1_3,1,0,0,0,1,0,0,0
scene_003_1_4,1,0,0,0,1,0,0,0
scene_003_1_5,1,0,0,0,1,0,0,0
scene_003_1_6,1,0,0,0,1,0,0,0
scene_035_1_2,1,0,0,0,1,0,0,0
scene_035_1_3,1,0,0,0,1,0,0,0
scene_035_1_4,1,0,0,0,1,0,0,0
scene_035_1_5,1,0,0,0,1,0,0,0
scene_035_1_6,1,0,0,0,1,0,0,0
scene_028_1_2,1,0,0,0,1,0,0,0
scene_028_1_3,1,0,0,0,1,0,0,0
scene_028_1_4,1,0,0,0,1,0,0,0
scene_028_1_5,1,0,0,0,1,0,0,0
scene_028_1_6,1,0,0,0,1,0,0,0
scene_014_1_2,1,0,0,0,1,0,0,0
scene_014_1_3,1,0,0,0,1,0,0,0
scene_014_1_4,1,0,0,0,1,0,0,0
scene_014_1_5,1,0,0,0,1,0,0,0
scene_014_1_6,1,0,0,0,1,0,0,0
scene_022_1_2,1,0,0,0,1,0,0,0
scene_022_1_3,1,0,0,0,1,0,0,0
scene_022_1_4,1,0,0,0,1,0,0,0
scene_022_1_5,1,0,0,0,1,0,0,0
scene_022_1_6,1,0,0,0,1,0,0,0
scene_024_1_2,1,0,0,0,1,0,0,0
scene_024_1_3,1,0,0,0,1,0,0,0
scene_024_1_4,1,0,0,0,1,0,0,0
scene_024_1_5,1,0,0,0,1,0,0,0
scene_024_1_6,1,0,0,0,1,0,0,0
scene_032_1_2,1,0,0,0,1,0,0,0
scene_032_1_3,1,0,0,0,1,0,0,0
scene_032_1_4,1,0,0,0,1,0,0,0
scene_032_1_5,1,0,0,0,1,0,0,0
scene_032_1_6,1,0,0,0,1,0,0,0
scene_021_1_2,1,0,0,0,1,0,0,0
scene_021_1_3,1,0,0,0,1,0,0,0
scene_021_1_4,1,0,0,0,1,0,0,0
scene_021_1_5,1,0,0,0,1,0,0,0
scene_021_1_6,1,0,0,0,1,0,0,0
scene_011_1_2,0.709485526796,-0.0111197874566,-26.0319717131,-0.135658544195,0.835170506336,102.983292986,-0.000232371130299,-1.58371404622e-05
scene_011_1_3,1.5108933283,-0.00160249918879,20.4616358074,0.266946695289,1.40648060273,-232.856444776,0.000483339293515,-2.28377702616e-06
scene_011_1_4,1.97325641389,0.0340732888512,30.0022030022,0.616673616952,1.97222075099,-535.616326756,0.00118903287682,-1.18134506002e-05
scene_011_1_5,0.441443290679,-0.010780806631,-19.6292818107,-0.207060634201,0.724387349411,148.186725818,-0.000385878874097,5.18251453111e-06
scene_011_1_6,0.203553606174,0.00334822702801,95.8595745209,-0.276973752301,0.656770710755,197.709932378,-0.000490228814873,-7.77128069531e-07
scene_010_1_2,0.875344048614,0.0256034519489,100.441397466,0.13067249718,0.762444675153,59.1166960733,0.000555188005279,9.46360038469e-05
scene_010_1_3,1.19302853348,0.0176585768857,93.8151899858,0.23291077619,1.06857838018,-20.2880975511,0.000980066477347,0.000161956534005
scene_010_1_4,0.183830772223,0.0294487968493,173.643468523,-0.0866850285096,0.479786233405,115.812891853,-0.000377230411279,4.80930034354e-05
scene_010_1_5,1,0,0,0,1,0,0,0
scene_010_1_6,0.228697694767,0.0054361776224,271.868968931,-0.0769724829065,0.391561743775,202.898090987,-0.000242290151428,-5.24622121624e-06
scene_006_1_2,0.327889419829,-0.00048049144858,169.168328856,-0.0879947135342,0.493216245466,72.4610613301,-0.000258564531611,4.13283297307e-06
scene_006_1_3,0.200651175572,0.0117292691034,174.598306011,-0.131980175357,0.538326237579,11.7517729131,-0.000436137621172,3.27011369309e-05
scene_006_1_4,1.29478399058,-0.00522351924499,90.4648379815,0.355039367486,1.14690170241,-293.331195933,0.00104754865391,2.36685881052e-05
scene_006_1_5,2.71284157451,0.016445859245,-57.72685124,0.794567166394,2.48256533313,-951.131205937,0.00201786513076,6.81458517584e-05
scene_006_1_6,-0.0440114957361,0.0113714818766,254.895054474,-0.187188835624,0.65949688339,-81.0301595395,-0.000728324237649,7.2131124598e-05
scene_005_1_2,0.493679643951,0.00449481951013,242.44675847,0.0595055333694,0.435188918733,165.721628708,0.000183460018179,8.52620250216e-06
scene_005_1_3,0.0276875918891,-0.0168601951837,298.977185134,-0.195851781036,0.457624653609,167.100513331,-0.000515803541628,-3.82849931368e-05
scene_005_1_4,1.14402721054,-0.0246822859661,185.978980663,0.296126874866,0.974807510606,-61.2344281957,0.000825453555317,-1.23245008973e-05
scene_005_1_5,1.20978796529,-0.0322596189916,47.3056401128,0.209647220122,1.03289962862,-107.142659097,0.000548642796189,-8.44403247656e-06
scene_005_1_6,0.360639424639,-0.0197481277106,211.575140314,-0.0815505823436,0.469656124974,178.91884331,-0.000209912707421,-4.23647563971e-05
scene_002_1_2,1.30775566686,0.06009923122,22.585484511,0.233538954711,1.13220719888,-91.937435168,0.000513097251387,4.08583964211e-05
scene_002_1_3,1.54835101902,0.116732401446,155.488365657,0.404170805332,1.37441233814,-170.562210997,0.000908539878845,9.17108308605e-05
scene_002_1_4,0.515289067136,0.0188857204389,40.710354709,-0.146525277641,0.74734681173,100.93445638,-0.000267076609955,4.50511455133e-05
scene_002_1_5,0.274274693102,0.0428932712854,84.2729378966,-0.228656253146,0.690259259526,123.960141193,-0.000412004557309,5.61225649222e-05
scene_002_1_6,0.18071076849,0.0329388126303,84.6301903843,-0.24977532811,0.684424576414,123.371809535,-0.000467693496802,5.36926882093e-05
scene_016_1_2,0.947838762019,0.0775419740218,177.258857797,0.251360583649,1.01372482676,13.012822032,0.000472716572172,2.85960663899e-05
scene_016_1_3,0.579431256791,-0.0297245470664,-19.8661333503,-0.294856314116,0.729978797942,188.752441334,-0.000438533421124,-4.3323718796e-05
scene_016_1_4,0.853920367796,0.0483262323988,268.111842681,0.412914473228,1.03810631208,-12.0052432721,0.00068429536727,2.85725595342e-05
scene_016_1_5,0.164063336266,0.00155484329181,108.187438742,-0.341737294043,0.550219699353,252.088664929,-0.000594982374888,6.63352210975e-05
scene_016_1_6,0.0577486233649,-0.0123549052536,135.200217678,-0.38412259149,0.550442402265,253.490435127,-0.000663585382849,5.72128359428e-05
scene_036_1_2,0.736354558512,-0.00291236847827,13.0368219253,0.0171751050872,0.711028834985,35.9139147527,5.89504049099e-05,-8.56990150053e-06
scene_036_1_3,0.0895332049241,0.00784409469595,132.266711688,-0.146812422257,0.470285936453,88.7175618994,-0.000569170411111,1.11477521803e-05
scene_036_1_4,1.43601967857,-0.00917686256164,-258.04311896,0.194808706512,1.30059318062,-196.684722477,0.000616256558241,5.26171776875e-05
scene_036_1_5,1.5238733054,0.0268653437785,249.37799483,0.309470997897,1.49653486379,-228.222742315,0.00121692850053,9.96703226093e-05
scene_036_1_6,0.0282453442638,0.0131241739956,199.161447767,-0.162756573616,0.444048005742,115.539149659,-0.000581847969127,4.01673752974e-06
scene_033_1_2,1.32049862944,-0.0102188549272,-143.736980347,0.0953115024514,1.19543630226,-58.4189695599,0.00019262371554,-2.07222151201e-05
scene_033_1_3,1.6454718721,-0.000802050843712,-224.034354981,0.172499924694,1.44232110516,-157.607522553,0.000366229279796,-3.22349943067e-05
scene_033_1_4,1,0,0,0,1,0,0,0
scene_033_1_5,1,0,0,0,1,0,0,0
scene_033_1_6,1,0,0,0,1,0,0,0
scene_038_1_2,1.35111517611,-0.0123778137562,55.7000546952,0.139775471983,1.2121207012,-101.75018883,0.000318618463031,-1.60226304741e-05
scene_038_1_3,2.07093688147,0.0150349261349,31.9309868454,0.367982441354,1.83282113231,-385.775504297,0.00094391158518,-7.49645535145e-06
scene_038_1_4,0.428818817901,0.017176922779,13.9272825622,-0.165578369735,0.774172784064,93.4077841662,-0.000384050328341,2.5091100862e-05
scene_038_1_5,0.236423582951,0.0454215472055,61.109762984,-0.231259036652,0.771951187034,74.0632044822,-0.000519812413377,2.55156454017e-05
scene_038_1_6,0.192300736289,0.0222920888661,78.7778221242,-0.218373545707,0.801633049687,22.2701213629,-0.000563813711075,3.85421529227e-05
scene_029_1_2,0.632280216231,0.00169560565579,211.527425551,-0.0280132861628,0.650586340322,172.844397676,-3.67030132265e-05,-1.57943424533e-05
scene_029_1_3,1.28363774541,-0.0359378458756,282.963197646,0.192221900191,1.13032153389,-45.8630888905,0.000400543528361,1.08707413956e-05
scene_029_1_4,1.05032928151,-0.0219820338197,565.258080007,0.178430256251,0.930800135325,37.9734667589,0.000431475127366,-1.36428761611e-06
scene_029_1_5,0.415585295355,0.0457752761646,44.7395640085,-0.138275563293,0.703874213261,132.554543706,-0.000288788174492,1.73888481202e-05
scene_029_1_6,0.287059174288,0.0259455327459,101.432047103,-0.137632726682,0.639289175646,139.877363728,-0.000324270418642,1.52086276438e-05
scene_017_1_2,0.749271899436,-0.00129761541566,-75.6785754192,-0.0742262385503,0.943420876877,40.422498697,-0.000181305075902,-5.96270859249e-06
scene_017_1_3,0.548525194977,-0.0110215685319,-5.98513861983,-0.118750533366,0.866279922654,111.234030207,-0.000264441495833,-1.9127067504e-05
scene_017_1_4,0.376420609322,-0.00227520337014,57.9491383683,-0.13981441872,0.819558181535,117.156091922,-0.000322825476028,-1.07050358636e-05
scene_017_1_5,0.269770653652,0.00253687421853,10.9484710668,-0.137578282502,0.804454959429,83.2153132667,-0.000356365269958,-8.77307034097e-07
scene_017_1_6,0.152079722196,0.0118407920643,55.9490660999,-0.159379693422,0.835963136576,58.3054480769,-0.000416240376576,8.02614259466e-06
scene_007_1_2,1.39207456331,-0.0620143190116,26.271061655,0.190366346001,1.03313031081,20.4740304856,0.000531435303839,-9.16025861245e-05
scene_007_1_3,1.72839076445,-0.0888981511179,129.821590809,0.389133533111,1.10142457629,-3.19731804724,0.0010948198996,-0.000118379473967
scene_007_1_4,0.384671727892,0.00509607951656,59.1309025964,-0.174025467249,0.831814244887,87.3820849339,-0.000486450771161,-3.56585330753e-05
scene_007_1_5,0.419958388054,0.00643399922575,103.800270061,-0.13407354249,0.817881755774,67.3550653488,-0.000431725211905,-4.70530517014e-06
scene_007_1_6,3.12932772509,-0.180612800169,357.186871548,1.17688974461,2.05058805338,-338.794354413,0.00361247728685,-0.000184760108516
scene_019_1_2,0.606212280326,-0.0130324057615,217.646584015,0.0872928265824,0.520653273794,33.0101864847,0.00021457924212,7.39419983877e-08
scene_019_1_3,0.784025115847,0.0220230207446,160.7449724,0.0902260283667,0.68452751977,-75.9787658919,0.000294647159759,4.18064034325e-05
scene_019_1_4,0.42827649821,0.00685519640842,96.8287170698,-0.0199118044125,0.482891707643,43.589337136,-7.95585484557e-05,1.54074285198e-05
scene_019_1_5,0.149962546836,-0.00269442731511,242.367621947,-0.0785516055364,0.455368919945,15.6901913373,-0.000333210117881,2.71553656329e-05
scene_019_1_6,1.15468563551,0.00981275180301,201.482525824,0.265825348457,1.05273173384,-280.454679424,0.000839264724086,9.02180979723e-05
scene_012_1_2,0.87702829228,0.000211376501841,-1.03815351756,-0.0354995101106,0.885812765434,36.575864204,-7.71765241124e-05,-1.84092674736e-05
scene_012_1_3,0.624075684006,-0.0441853347599,89.8729425396,-0.0942705023941,0.678107355219,150.647951367,-0.000206541043662,-6.70077008796e-05
scene_012_1_4,0.128314538717,-0.0399565189209,330.009757929,-0.188776761212,0.470678926553,253.888263857,-0.000397590077504,-3.99633810837e-05
scene_012_1_5,0.0845033983345,-0.0235025559494,252.594537458,-0.209695516254,0.511859515067,245.310270274,-0.000445829380254,-2.80458295105e-05
scene_012_1_6,0.0444640575497,-0.0193345541924,228.371030676,-0.213446037119,0.512584699378,264.088328496,-0.000463178257901,-2.11831879855e-05
