pair_id,h11,h12,h13,h21,h22,h23,h31,h32
scene_030_1_2,1,0,0,0,1,0,0,0
scene_030_1_3,1,0,0,0,1,0,0,0
scene_030_1_4,1,0,0,0,1,0,0,0
scene_030_1_5,1,0,0,0,1,0,0,0
scene_030_1_6,1,0,0,0,1,0,0,0
scene_020_1_2,1,0,0,0,1,0,0,0
scene_020_1_3,1,0,0,0,1,0,0,0
scene_020_1_4,1,0,0,0,1,0,0,0
scene_020_1_5,1,0,0,0,1,0,0,0
scene_020_1_6,1,0,0,0,1,0,0,0
scene_001_1_2,1,0,0,0,1,0,0,0
scene_001_1_3,1,0,0,0,1,0,0,0
scene_001_1_4,1,0,0,0,1,0,0,0
scene_001_1_5,1,0,0,0,1,0,0,0
scene_001_1_6,1,0,0,0,1,0,0,0
scene_027_1_2,1,0,0,0,1,0,0,0
scene_027_1_3,1,0,0,0,1,0,0,0
scene_027_1_4,1,0,0,0,1,0,0,0
scene_027_1_5,1,0,0,0,1,0,0,0
scene_027_1_6,1,0,0,0,1,0,0,0
scene_018_1_2,1,0,0,0,1,0,0,0
scene_018_1_3,1,0,0,0,1,0,0,0
scene_018_1_4,1,0,0,0,1,0,0,0
scene_018_1_5,1,0,0,0,1,0,0,0
scene_018_1_6,1,0,0,0,1,0,0,0
scene_037_1_2,1,0,0,0,1,0,0,0
scene_037_1_3,1,0,0,0,1,0,0,0
scene_037_1_4,1,0,0,0,1,0,0,0
scene_037_1_5,1,0,0,0,1,0,0,0
scene_037_1_6,1,0,0,0,1,0,0,0
scene_003_1_2,1,0,0,0,1,0,0,0
scene_003_1_3,1,0,0,0,1,0,0,0
scene_003_1_4,1,0,0,0,1,0,0,0
scene_003_1_5,1,0,0,0,1,0,0,0
scene_003_1_6,1,0,0,0,1,0,0,0
scene_035_1_2,1,0,0,0,1,0,0,0
scene_035_1_3,1,0,0,0,1,0,0,0
scene_035_1_4,1,0,0,0,1,0,0,0
scene_035_1_5,1,0,0,0,1,0,0,0
scene_035_1_6,1,0,0,0,1,0,0,0
scene_028_1_2,1,0,0,0,1,0,0,0
scene_028_1_3,1,0,0,0,1,0,0,0
scene_028_1_4,1,0,0,0,1,0,0,0
scene_028_1_5,1,0,0,0,1,0,0,0
scene_028_1_6,1,0,0,0,1,0,0,0
scene_014_1_2,1,0,0,0,1,0,0,0
scene_014_1_3,1,0,0,0,1,0,0,0
scene_014_1_4,1,0,0,0,1,0,0,0
scene_014_1_5,1,0,0,0,1,0,0,0
scene_014_1_6,1,0,0,0,1,0,0,0
scene_022_1_2,1,0,0,0,1,0,0,0
scene_022_1_3,1,0,0,0,1,0,0,0
scene_022_1_4,1,0,0,0,1,0,0,0
scene_022_1_5,1,0,0,0,1,0,0,0
scene_022_1_6,1,0,0,0,1,0,0,0
scene_024_1_2,1,0,0,0,1,0,0,0
scene_024_1_3,1,0,0,0,1,0,0,0
scene_024_1_4,1,0,0,0,1,0,0,0
scene_024_1_5,1,0,0,0,1,0,0,0
scene_024_1_6,1,0,0,0,1,0,0,0
scene_032_1_2,1,0,0,0,1,0,0,0
scene_032_1_3,1,0,0,0,1,0,0,0
scene_032_1_4,1,0,0,0,1,0,0,0
scene_032_1_5,1,0,0,0,1,0,0,0
scene_032_1_6,1,0,0,0,1,0,0,0
scene_021_1_2,1,0,0,0,1,0,0,0
scene_021_1_3,1,0,0,0,1,0,0,0
scene_021_1_4,1,0,0,0,1,0,0,0
scene_021_1_5,1,0,0,0,1,0,0,0
scene_021_1_6,1,0,0,0,1,0,0,0
scene_011_1_2,0.708106318394,-0.0111603804571,-25.7767499815,-0.136430486247,0.834005656436,103.444957981,-0.000234091051669,-1.59129947129e-05
scene_011_1_3,1.51314840208,-0.000435734876925,20.0229207324,0.268024051105,1.41031648169,-234.249232016,0.000486133606761,-1.20545081158e-06
scene_011_1_4,1.97867387437,0.038145208148,26.7952981646,0.616614113814,1.97239958791,-535.598044669,0.0011883178281,-1.06435790407e-05
scene_011_1_5,0.440196322276,-0.0115939216914,-18.9552602956,-0.207627330571,0.722435788051,148.716581493,-0.000387242377279,3.87732386481e-06
scene_011_1_6,0.202579700948,0.00288008146441,95.7075608646,-0.278964546391,0.653474504195,199.873522875,-0.000493536376202,-4.74310269818e-08
scene_010_1_2,0.878158551911,0.0251511817922,100.141920504,0.131107787652,0.761913092268,59.3824422762,0.000559424712732,9.27036301711e-05
scene_010_1_3,1.19778662041,0.0166420846679,93.5621727335,0.234744768709,1.06905778008,-20.499959949,0.000987572717623,0.000160002396
scene_010_1_4,0.182769487174,0.0305011863546,173.793547933,-0.0872018973012,0.479253346215,116.256883088,-0.000378410384554,4.92039964599e-05
scene_010_1_5,0.0180230098689,0.0194449835362,189.511801585,-0.123211655427,0.609535233524,126.16628656,-0.000636323366165,8.75452867269e-05
scene_010_1_6,0.228319706936,0.00625341576968,271.8292423,-0.0772308029629,0.39143899693,203.125973767,-0.000242815321394,-4.39199270977e-06
scene_006_1_2,0.326135742206,-0.0023270312469,170.71648793,-0.0877024593505,0.492306088693,72.1473163578,-0.000258434936052,1.32013790791e-06
scene_006_1_3,0.203760082802,0.00992235559276,174.343242144,-0.130419439328,0.538469565293,11.0636713188,-0.000429793688635,2.80198627255e-05
scene_006_1_4,1.28169014434,-0.00141452693075,89.851197033,0.347717603974,1.14235472534,-290.111415314,0.00102858568349,2.41981821265e-05
scene_006_1_5,2.64906038242,0.0307193527354,-60.8559705752,0.75797338536,2.42860694234,-920.969299538,0.0019208575455,7.26383229302e-05
scene_006_1_6,-0.0316976475103,0.00879455561244,250.480181026,-0.182731193367,0.669576516119,-88.0033947413,-0.00071390433043,6.64158895944e-05
scene_005_1_2,0.490907240177,0.00365034326555,242.884258717,0.057438017457,0.432878279795,166.940306308,0.000179279499069,6.93256914594e-06
scene_005_1_3,0.0236765510549,-0.0179845579548,301.06302837,-0.195711541949,0.455260289658,166.881227477,-0.000518323841607,-4.0232354534e-05
scene_005_1_4,1.14416984728,-0.0252695070424,186.018687074,0.295807644757,0.974200045849,-61.002313487,0.000825505628979,-1.31263404426e-05
scene_005_1_5,1.21029411659,-0.0321880130218,47.2553831235,0.21006469221,1.03357387953,-107.340636434,0.000549075892377,-7.59129401315e-06
scene_005_1_6,0.358849794629,-0.0212575216642,212.055708293,-0.0824659089469,0.467253127413,179.454715216,-0.000211604473505,-4.58048587306e-05
scene_002_1_2,1.31133949395,0.0599766031013,21.9347423003,0.235041846734,1.13388618103,-92.5560855436,0.000515941574521,4.1801457451e-05
scene_002_1_3,1.55049367778,0.11546257172,154.917551649,0.404583859442,1.37412393564,-170.582014364,0.000908664663803,9.13625787011e-05
scene_002_1_4,0.51588237163,0.0191548467929,40.5407372718,-0.146231682432,0.748163616555,100.581928563,-0.000266376711309,4.51479757371e-05
scene_002_1_5,0.274333660967,0.0427240244648,84.3993425938,-0.228606988543,0.690463510307,123.762490832,-0.000411877954295,5.58484692543e-05
scene_002_1_6,0.181030198131,0.0341392453606,83.3926085921,-0.250331009744,0.684793269417,123.413864524,-0.000470023198535,5.62313618889e-05
scene_016_1_2,0.946461539916,0.07699138119,177.327469839,0.251388760226,1.01085632493,13.6934526653,0.000473360102742,2.5733912316e-05
scene_016_1_3,0.578448742317,-0.0304156014886,-19.2134235737,-0.294076434345,0.728584947169,188.759215979,-0.000438336476599,-4.45497533193e-05
scene_016_1_4,0.852800724193,0.0467819854035,268.372418672,0.414229313613,1.03400363816,-11.3258226988,0.000685935453381,2.44044997328e-05
scene_016_1_5,0.164371887254,0.000712988799212,108.688921628,-0.339666180418,0.549663047966,251.556219142,-0.000591810179285,6.45350628878e-05
scene_016_1_6,0.0568299770761,-0.0141988779472,136.005116476,-0.38321257124,0.544448856168,255.165430477,-0.000661665539113,5.07170630848e-05
scene_036_1_2,0.736188326122,-0.00288495836677,13.0004624803,0.0171589241932,0.710924440126,35.9403731576,5.87134858523e-05,-8.54855161324e-06
scene_036_1_3,0.0897499572227,0.00897776300915,132.16625876,-0.14699263577,0.471949934367,88.5922510484,-0.000568736786473,1.25460990619e-05
scene_036_1_4,1.44319641496,-0.00835344571921,-260.734944133,0.196371627569,1.30510905686,-198.044277827,0.000621780101623,5.45244985801e-05
scene_036_1_5,1.51535167138,0.0254557657779,250.143381852,0.307510444103,1.49120605846,-226.799154102,0.00120726495038,9.72073156099e-05
scene_036_1_6,0.0296981479187,0.013246511009,198.448471269,-0.162291464784,0.445798536528,114.758989777,-0.00058049193321,3.90221919984e-06
scene_033_1_2,1.31664241746,-0.0112979931335,-142.065748153,0.09394350244,1.19213536554,-57.2597961757,0.000191320619076,-2.3030139262e-05
scene_033_1_3,1.64413288302,-0.00184937597568,-223.433310169,0.170997906594,1.44084247028,-156.309879161,0.000365538736246,-3.29381146588e-05
scene_033_1_4,3.1673833603,-0.0449554465799,-359.38067732,0.789661797889,2.81044530637,-842.307502611,0.00150715105288,-3.93811125318e-05
scene_033_1_5,3.71020501952,-0.0427842876087,-188.915563686,0.98088658009,3.35895902812,-1100.5639778,0.00189239740342,-5.88373214816e-06
scene_033_1_6,3.82313419391,0.00303248871188,61.1341416469,1.0230904036,3.49423860124,-1153.20294492,0.00202463258079,-2.41296829872e-05
scene_038_1_2,1.34741203368,-0.0158646934936,57.4415654129,0.139928068243,1.2060649416,-100.360969678,0.000318238279244,-2.17998420755e-05
scene_038_1_3,2.06832699118,0.0106222018866,34.2527038338,0.369356430808,1.82856125235,-384.955592824,0.000945508754876,-1.1832462963e-05
scene_038_1_4,0.429313243491,0.0124318767501,16.1994565154,-0.16415211473,0.771088545649,93.7246950233,-0.000381114294777,2.03991927535e-05
scene_038_1_5,0.243182023263,0.0490855187568,54.9081276643,-0.231200568317,0.78198539969,71.0435009229,-0.000519947089514,3.33628193973e-05
scene_038_1_6,0.191598845096,0.0255450075272,78.7654560687,-0.218716406934,0.806588231429,20.9174449619,-0.000565631730147,4.51021266698e-05
scene_029_1_2,0.632081940536,0.00104524576393,212.153317121,-0.0275655145389,0.650427713686,172.732356357,-3.58922481118e-05,-1.63347977925e-05
scene_029_1_3,1.28593609977,-0.0360193638949,282.940290724,0.192850041119,1.13089970162,-46.0664554588,0.000402078668311,1.08173858925e-05
scene_029_1_4,1.05622288622,-0.0201948803052,564.781719045,0.180406546421,0.933322715796,37.2509455252,0.000436100609094,3.28338284981e-07
scene_029_1_5,0.414219803521,0.044212946344,45.5299114343,-0.138622506329,0.701890209458,133.088762229,-0.000289391247478,1.5584257337e-05
scene_029_1_6,0.285383000208,0.0238669868591,102.236254512,-0.13789683265,0.634782976345,140.853318136,-0.000324967418869,1.05432718974e-05
scene_017_1_2,0.749280952148,-0.0016926852977,-75.5775207096,-0.0740644509684,0.942827892935,40.4810059271,-0.000181056242021,-6.6175683693e-06
scene_017_1_3,0.549007363997,-0.0111420364923,-6.18295070991,-0.118517577782,0.866277140585,111.171710384,-0.000264007134291,-1.94363147554e-05
scene_017_1_4,0.376577962889,-0.00273808237987,57.9866522489,-0.139894427447,0.819059362144,117.539158697,-0.000322507993987,-1.12910306617e-05
scene_017_1_5,0.269815074078,0.00193668286494,11.1867799129,-0.137868236146,0.804294249794,83.6305195396,-0.00035630737919,-9.68866334618e-07
scene_017_1_6,0.151977837495,0.011560341345,56.0265938183,-0.159505943129,0.834849319854,58.8939882522,-0.000416067596875,7.24118570072e-06
scene_007_1_2,1.39218359065,-0.0527556171061,23.377076809,0.188749081176,1.03607968674,21.1006751521,0.000527035333091,-8.10217463594e-05
scene_007_1_3,1.74104859163,-0.0842088033698,126.974801555,0.391863742737,1.11255092972,-4.99946583276,0.00110325473607,-0.00010684116991
scene_007_1_4,0.385493136313,0.00267970000623,59.7002472465,-0.172810287032,0.831217659555,86.7672666457,-0.000483919033712,-4.01782523817e-05
scene_007_1_5,0.419579036518,4.04204995401e-06,105.811095414,-0.132523828872,0.81505623113,66.7647924163,-0.000429016927419,-1.3445859263e-05
scene_007_1_6,3.03907589025,-0.180564755389,359.695953315,1.1368436834,2.01980831911,-329.074532539,0.00347327371204,-0.000182527146941
scene_019_1_2,0.606031473835,-0.0130077641358,217.796455959,0.0870506103905,0.520399620532,33.3846229298,0.000214755041651,-1.93453816394e-07
scene_019_1_3,0.781165484598,0.0216949720557,161.171030208,0.0892065062613,0.681965170965,-74.6218733885,0.000291689930612,4.03683573705e-05
scene_019_1_4,0.429093063936,0.00723491825273,96.3703109046,-0.0195693188411,0.483665687633,43.2728445147,-7.8851480929e-05,1.61133169965e-05
scene_019_1_5,0.150486908441,-0.000677945463676,242.312917062,-0.0786226158818,0.459176067507,14.5503067016,-0.000332979891063,3.17529737905e-05
scene_019_1_6,1.1614490013,0.00556594060636,202.12768012,0.269291011737,1.04856820048,-279.58636503,0.000847756174089,8.36263346731e-05
scene_012_1_2,0.877186568847,0.00044699838953,-1.15239011661,-0.0355100313796,0.886250545567,36.4778398788,-7.71933417589e-05,-1.79899537599e-05
scene_012_1_3,0.624195373113,-0.0442222419116,89.9333468247,-0.0941559680488,0.678345094387,150.553975946,-0.000206477766546,-6.67608953243e-05
scene_012_1_4,0.127713102416,-0.0401254567072,330.389394577,-0.189202170095,0.470312314388,254.246051772,-0.000398085291143,-3.98798428521e-05
scene_012_1_5,0.0853112064752,-0.0235556338023,251.948093765,-0.20965281617,0.512280995426,245.131972116,-0.000445667847615,-2.80850969285e-05
scene_012_1_6,0.0453875086379,-0.0183297515065,227.459773687,-0.213110321545,0.514384504139,263.269673955,-0.000462939668046,-2.01030161622e-05
