pair_id,image_1,image_2,h11,h12,h13,h21,h22,h23,h31,h32
scene_030_1_2,scene_030/1.png,scene_030/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_030_1_3,scene_030/1.png,scene_030/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_030_1_4,scene_030/1.png,scene_030/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_030_1_5,scene_030/1.png,scene_030/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_030_1_6,scene_030/1.png,scene_030/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_020_1_2,scene_020/1.png,scene_020/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_020_1_3,scene_020/1.png,scene_020/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_020_1_4,scene_020/1.png,scene_020/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_020_1_5,scene_020/1.png,scene_020/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_020_1_6,scene_020/1.png,scene_020/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_001_1_2,scene_001/1.png,scene_001/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_001_1_3,scene_001/1.png,scene_001/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_001_1_4,scene_001/1.png,scene_001/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_001_1_5,scene_001/1.png,scene_001/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_001_1_6,scene_001/1.png,scene_001/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_027_1_2,scene_027/1.png,scene_027/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_027_1_3,scene_027/1.png,scene_027/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_027_1_4,scene_027/1.png,scene_027/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_027_1_5,scene_027/1.png,scene_027/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_027_1_6,scene_027/1.png,scene_027/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_018_1_2,scene_018/1.png,scene_018/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_018_1_3,scene_018/1.png,scene_018/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_018_1_4,scene_018/1.png,scene_018/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_018_1_5,scene_018/1.png,scene_018/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_018_1_6,scene_018/1.png,scene_018/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_037_1_2,scene_037/1.png,scene_037/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_037_1_3,scene_037/1.png,scene_037/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_037_1_4,scene_037/1.png,scene_037/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_037_1_5,scene_037/1.png,scene_037/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_037_1_6,scene_037/1.png,scene_037/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_003_1_2,scene_003/1.png,scene_003/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_003_1_3,scene_003/1.png,scene_003/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_003_1_4,scene_003/1.png,scene_003/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_003_1_5,scene_003/1.png,scene_003/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_003_1_6,scene_003/1.png,scene_003/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_035_1_2,scene_035/1.png,scene_035/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_035_1_3,scene_035/1.png,scene_035/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_035_1_4,scene_035/1.png,scene_035/4.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_035_1_5,scene_035/1.png,scene_035/5.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_035_1_6,scene_035/1.png,scene_035/6.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_028_1_2,scene_028/1.png,scene_028/2.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scene_028_1_3,scene_028/1.png,scene_028/3.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
